name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,lat,lon
VAIRES 1,,,,,FR,181,Oil,,,,48.87349,2.65533
VAIRES 2,,,,,FR,179,Oil,,,,48.87349,2.65533
VAIRES 3,,,,,FR,182,Oil,,,,48.87349,2.65533
AMFARD14,,,,,FR,130,Natural gas,,,2004,,
AMFARD15,,,,,FR,130,Natural gas,,,2004,,
BLENOD 5,,,,,FR,427,Natural gas,,,,48.86959,6.08377
BOUCHAIN 7,,,,,FR,585,Natural gas,,,2017,50.29774,3.31429
COMBIGOLFE,,,,,FR,425,Natural gas,,,2010,43.41616,4.86974
CYCOFOS,,,,,FR,428,Natural gas,,,2009,43.42801,4.88652
Croix-de-Metz,,,,,FR,413,Natural gas,,,2012,48.69336,5.91468
DK6,,,,,FR,796,Natural gas,,,2005,51.04628,2.31835
EMILE HUCHET 7,,,,,FR,413,Natural gas,,,2010,49.15412,6.7047
EMILE HUCHET 8,,,,,FR,413,Natural gas,,,2010,49.15412,6.7047
FR-GA-MORANT1,,,,,FR,401,Natural gas,,,2016,46.27282,3.30095
GENNEVILLIERS 1,,,,,FR,203,Natural gas,,,,48.93699,2.26144
MARTIGUES PONTEAU 5,,,,,FR,465,Natural gas,,,,43.35822,5.02112
MARTIGUES PONTEAU 6,,,,,FR,465,Natural gas,,,,43.35822,5.02112
Pont-sur-Sambre,,,,,FR,412,Natural gas,,,2009,50.22915,3.86807
SPEM,,,,,FR,435,Natural gas,,,2010,47.30265,-2.14028
CHEYLAS,,,,,FR,485,Hydro,Pumped storage,,,45.3846,6.00207
COCHE,,,,,FR,320,Hydro,Pumped storage,,,45.49667,6.51038
GRAND MAISON,,,,,FR,1700,Hydro,Pumped storage,,2017,45.20597,6.11719
MONTEZIC,,,,,FR,910,Hydro,Pumped storage,,,44.73766,2.64342
REVIN,,,,,FR,808,Hydro,Pumped storage,,,49.92556,4.61331
SUPER BISSORTE,,,,,FR,742.3,Hydro,Pumped storage,,,45.1803,6.5797
ASTON,,,,,FR,104,Hydro,Run-of-river,,,42.77668,1.67671
AVIGNON,,,,,FR,126,Hydro,Run-of-river,,1973,43.97606,4.81721
BAIX LOGIS NEUF 1,,,,,FR,140,Hydro,Run-of-river,,1960,44.67605,4.78827
BEAUCHASTEL,,,,,FR,198,Hydro,Run-of-river,,1963,44.82397,4.81049
BOURG les VALENCE,,,,,FR,180,Hydro,Run-of-river,,1968,44.96128,4.87221
CADEROUSSE,,,,,FR,156,Hydro,Run-of-river,,1975,44.09606,4.72329
CHASTANG,,,,,FR,293,Hydro,Run-of-river,,,45.15185,2.00985
COUESQUE,,,,,FR,119,Hydro,Run-of-river,,,44.69609,2.58555
DONZERE MONDRAGON,,,,,FR,348,Hydro,Run-of-river,,1952,44.30368,4.74217
FESSENHEIM,,,,,FR,175,Hydro,Run-of-river,,,47.91466,7.57067
FR_LA-MAREGES-P,,,,,FR,150,Hydro,Run-of-river,,2018,,
FR_LA-STPIERRE-P,,,,,FR,122,Hydro,Run-of-river,,2018,,
GENISSIAT,,,,,FR,420,Hydro,Run-of-river,,1948,46.05271,5.81285
GERSTHEIM,,,,,FR,140.5,Hydro,Run-of-river,,,48.40385,7.72775
HERMILLON,,,,,FR,115.6,Hydro,Run-of-river,,,45.28424,6.35799
KEMBS,,,,,FR,162.1,Hydro,Run-of-river,,2016,47.65534,7.51959
MARCKOLSHEIM,,,,,FR,156.2,Hydro,Run-of-river,,,48.15371,7.5898
MAREGES,,,,,FR,150,Hydro,Run-of-river,,1935,45.39171,2.36446
MONTELIMAR,,,,,FR,295,Hydro,Run-of-river,,1957,44.59281,4.72593
OTTMARSHEIM,,,,,FR,156,Hydro,Run-of-river,,,47.77399,7.52246
PASSY,,,,,FR,104,Hydro,Run-of-river,,,45.91642,6.72592
RANDENS,,,,,FR,124.2,Hydro,Run-of-river,,,45.52711,6.31996
RHINAU,,,,,FR,152,Hydro,Run-of-river,,2016,48.28412,7.67728
SAINT PIERRE COGNET,,,,,FR,101,Hydro,Run-of-river,,,44.87249,5.77319
SAINT-PIERRE,,,,,FR,122,Hydro,Run-of-river,,1983,,
SAUSSAZ,,,,,FR,145.4,Hydro,Run-of-river,,,45.20992,6.47663
STRASBOURG,,,,,FR,147.8,Hydro,Run-of-river,,2016,48.52561,7.79456
VALLABREGUES,,,,,FR,210,Hydro,Run-of-river,,1970,43.82415,4.64349
VOGELGRUN,,,,,FR,140.5,Hydro,Run-of-river,,,48.0203,7.57393
AIGLE,,,,,FR,360,Hydro,Reservoir,,,45.24373,2.22483
BATHIE,,,,,FR,592,Hydro,Reservoir,,,45.68545,6.62249
BORT,,,,,FR,235,Hydro,Reservoir,,,45.41269,2.49862
BROMMAT,,,,,FR,406,Hydro,Reservoir,,,44.76793,2.68415
